I_B,s_(I_B),U_BE,s_(U_BE)
0.01,0.030532186,0.559,0.00741234
0.02,0.030650573,0.578,0.007525249
0.03,0.030768971,0.587,0.007579209
0.04,0.030887383,0.593,0.007615349
0.05,0.031005806,0.6,0.007657676
0.08,0.031361148,0.614,0.007742851
0.1,0.031598101,0.62,0.007779563
0.15,0.032190682,0.635,0.007871874
0.2,0.032783532,0.644,0.007927617
0.25,0.033376639,0.651,0.007971152
0.3,0.033969987,0.657,0.008008591
0.35,0.034563565,0.663,0.008046143
0.4,0.035157361,0.667,0.008071239
0.45,0.035751364,0.671,0.008096383
0.5,0.036345564,0.675,0.008121576
0.55,0.036939951,0.678,0.008140502
0.6,0.037534517,0.682,0.008165778
0.65,0.038129254,0.684,0.008178434
0.7,0.038724153,0.687,0.00819744
0.75,0.039319207,0.69,0.008216471
0.8,0.039914408,0.692,0.008229173
0.85,0.040509752,0.694,0.008241887
0.9,0.041105231,0.696,0.008254612
0.95,0.041700839,0.698,0.008267349
1,0.042296572,0.7,0.008280097
1.1,0.043488389,0.703,0.008299239
1.2,0.044680645,0.706,0.008318408
1.3,0.045873304,0.709,0.008337601
1.4,0.047066336,0.711,0.00835041
1.5,0.048259714,0.714,0.008369644
1.6,0.049453412,0.716,0.008382481
1.7,0.050647409,0.718,0.008395328
1.8,0.051841682,0.72,0.008408186
1.9,0.053036214,0.722,0.008421056
2,0.054230987,0.724,0.008433935
2.5,0.060207973,0.732,0.00848556
3,0.066189123,0.738,0.008524389
3.5,0.072173402,0.744,0.008563312
4,0.078160092,0.749,0.008595817
