Zelle Nr.;D mes;A mes;S mes;D bg;A bg;S gb;D;A;S;alpha;gamma;delta
1;5,481;100,07;181,507;3,796;2,164;2,231;1,685;97,906;179,276;0,017210385;1,831103303;0,009398916
2;4,288;19,275;42,668;3,917;2,199;2,338;0,371;17,076;40,33;0,0217264;2,361794331;0,009199107
3;4,277;40,432;96,637;3,748;1,981;1,658;0,529;38,451;94,979;0,01375777;2,470130816;0,005569652
4;4,138;27,594;62,912;3,6;2,185;2,209;0,538;25,409;60,703;0,0211736;2,389035381;0,008862824
5;4,19;34,719;78,166;3,761;2,284;2,439;0,429;32,435;75,727;0,013226453;2,334731;0,005665086
6;4,181;29,507;66,043;3,648;2,182;2,123;0,533;27,325;63,92;0,019505947;2,339249771;0,008338548
7;4,265;50,273;116,335;3,614;2,189;2,136;0,651;48,084;114,199;0,013538807;2,374989602;0,005700575
8;4,074;15,265;33,728;3,584;2,033;1,894;0,49;13,232;31,834;0,037031439;2,405834341;0,015392348
9;4,475;36,802;82,418;3,877;2,113;2,118;0,598;34,689;80,3;0,017238894;2,314854853;0,007447073
10;4,33;32,137;74,972;3,723;2,101;2,048;0,607;30,036;72,924;0,020209082;2,427886536;0,008323734
;;;;;;;;;;;;
;;;;;;;;;Mittelwert;0,019461878;2,324960993;0,008389786
